"","SEQN","SDDSRVYR","RIDSTATR","RIAGENDR","RIDAGEYR","RIDAGEMN","RIDRETH1","RIDRETH3","RIDEXMON","DMDBORN4","DMDYRUSZ","DMDEDUC2","DMDMARTZ","RIDEXPRG","SIALANG","SIAPROXY","SIAINTRP","FIALANG","FIAPROXY","FIAINTRP","MIALANG","MIAPROXY","MIAINTRP","AIALANGA","WTINTPRP","WTMECPRP","SDMVPSU","SDMVSTRA","INDFMPIR"
"13591",122853,66,2,1,0,3,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,13084.859183,14473.974151,2,172,5
"13592",122854,66,2,1,11,NA,2,2,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,5565.715731,6014.322507,2,167,3.38
"13593",122855,66,2,1,32,NA,3,3,1,1,NA,4,1,NA,1,2,2,1,2,2,1,2,2,1,25178.541371,27547.437949,1,165,2.2
"13594",122856,66,2,1,80,NA,3,3,2,1,NA,4,1,NA,1,2,2,1,2,2,1,2,2,NA,6530.942519,7857.355708,2,158,2.92
"13595",122857,66,2,1,5,NA,5,7,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,6057.801585,6936.98488,2,165,3.21
"13596",122858,66,2,1,0,10,4,4,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,3967.516739,4456.52601,1,171,1.4
"13597",122859,66,2,2,26,NA,5,6,2,2,2,5,1,1,1,2,2,1,2,2,1,2,2,1,16512.400632,17386.832661,3,156,5
"13598",122860,66,2,1,15,NA,5,7,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,1,5039.776765,5471.494803,2,165,2.04
"13599",122861,66,2,1,1,20,4,4,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,2154.255765,2362.798673,1,150,1.04
"13600",122862,66,2,1,3,NA,4,4,2,1,NA,NA,NA,NA,1,1,2,1,1,2,NA,NA,NA,NA,6260.389667,6783.252353,1,164,0
"13601",122863,66,2,1,8,NA,1,1,1,1,NA,NA,NA,NA,2,1,2,2,2,2,1,2,2,NA,13395.575502,15665.619391,2,161,1.15
"13602",122864,66,2,1,58,NA,5,7,1,1,NA,4,3,NA,1,2,2,1,2,2,1,2,2,1,9389.659797,9875.775721,2,161,4.93
"13603",122865,66,2,1,0,0,4,4,2,1,NA,NA,NA,NA,1,1,1,1,2,1,NA,NA,NA,NA,5062.570118,5763.457474,2,153,NA
