"","SEQN","SDDSRVYR","RIDSTATR","RIAGENDR","RIDAGEYR","RIDAGEMN","RIDRETH1","RIDRETH3","RIDEXMON","DMDBORN4","DMDYRUSZ","DMDEDUC2","DMDMARTZ","RIDEXPRG","SIALANG","SIAPROXY","SIAINTRP","FIALANG","FIAPROXY","FIAINTRP","MIALANG","MIAPROXY","MIAINTRP","AIALANGA","WTINTPRP","WTMECPRP","SDMVPSU","SDMVSTRA","INDFMPIR"
"1",109263,66,2,1,2,NA,5,6,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,7891.762435,8951.815567,3,156,4.66
"2",109264,66,2,2,13,NA,1,1,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,1,11689.747264,12271.157043,1,155,0.83
"3",109265,66,2,1,2,NA,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,16273.825939,16658.764203,1,157,3.06
"4",109266,66,2,2,29,NA,5,6,2,2,2,5,3,2,1,2,2,1,2,2,1,2,2,1,7825.646112,8154.968193,2,168,5
"5",109267,66,1,2,21,NA,2,2,NA,2,3,4,3,3,1,2,2,1,2,2,NA,NA,NA,NA,26379.991724,0,1,156,5
"6",109268,66,1,2,18,NA,3,3,NA,1,NA,NA,NA,NA,1,2,2,1,2,2,NA,NA,NA,NA,19639.221008,0,1,155,1.66
"7",109269,66,2,1,2,NA,2,2,1,1,NA,NA,NA,NA,1,1,2,2,2,2,NA,NA,NA,NA,5906.250521,6848.271782,2,152,0.96
"8",109270,66,2,2,11,NA,4,4,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,4613.057696,4886.930378,1,150,1.88
"9",109271,66,2,1,49,NA,3,3,2,1,NA,2,3,NA,1,2,2,1,2,2,1,2,2,1,8481.589837,8658.732873,1,167,NA
"10",109272,66,2,1,0,3,1,1,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,7037.380216,7872.776233,1,155,0.73
"11",109273,66,2,1,36,NA,3,3,2,1,NA,4,3,NA,1,2,2,1,2,2,1,2,2,1,20171.847767,22163.59685,1,155,0.83
"12",109274,66,2,1,68,NA,5,7,1,1,NA,4,3,NA,1,2,2,1,2,2,1,2,2,1,7227.993241,7801.600218,2,167,1.2
"13",109275,66,2,1,6,NA,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,16372.53397,17610.326826,2,164,3.74
"14",109276,66,2,1,0,2,4,4,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,1652.540459,1810.573063,1,171,0
"15",109277,66,2,2,12,NA,1,1,1,1,NA,NA,NA,NA,2,1,2,2,2,2,1,2,2,2,16385.743307,17519.418144,2,161,1.35
"16",109278,66,2,2,6,NA,2,2,2,1,NA,NA,NA,NA,2,1,2,2,2,2,NA,NA,NA,NA,10119.759284,10958.708298,1,171,NA
"17",109279,66,2,2,17,NA,3,3,2,1,NA,NA,NA,NA,1,2,2,1,2,2,1,2,2,1,11041.633812,11167.795041,2,169,1.19
"18",109280,66,2,2,2,NA,1,1,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,14332.246278,16115.057274,1,155,1.71
"19",109281,66,2,2,0,1,1,1,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,2116.528118,2301.303575,2,150,0.94
"20",109282,66,2,1,76,NA,3,3,2,1,NA,5,1,NA,1,2,2,1,2,2,1,2,2,NA,28363.015286,31816.3465,2,164,3.61
"21",109283,66,1,1,52,NA,5,7,NA,1,NA,3,2,NA,1,2,2,1,2,2,NA,NA,NA,NA,42539.680445,0,2,149,0.96
"22",109284,66,2,2,44,NA,1,1,1,2,3,2,1,2,2,2,2,2,2,2,1,2,2,2,13822.803724,13794.793542,1,154,NA
"23",109285,66,2,1,16,NA,4,4,2,1,NA,NA,NA,NA,1,2,2,1,2,2,1,2,2,1,27778.645672,29931.00931,1,163,2.39
"24",109286,66,2,2,33,NA,5,6,1,2,2,5,1,1,1,2,2,1,2,2,NA,NA,NA,NA,13776.534942,14547.467164,2,154,1.36
"25",109287,66,2,2,11,NA,3,3,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,7296.432792,8692.74169,1,150,0.59
"26",109288,66,2,1,5,NA,2,2,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,6125.306254,7144.714446,2,151,0.21
"27",109289,66,2,1,2,NA,5,7,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,1828.133543,2018.367976,1,171,0.66
"28",109290,66,2,2,68,NA,4,4,2,1,NA,5,2,NA,1,2,2,1,2,2,1,2,2,1,3967.693106,4099.841985,1,171,5
"29",109291,66,2,2,42,NA,5,6,1,1,NA,5,1,2,1,2,2,1,2,2,1,2,2,1,15845.543149,17228.617805,1,161,NA
"30",109292,66,2,1,58,NA,2,2,2,1,NA,3,2,NA,1,2,2,1,2,2,1,2,2,NA,15941.778001,17463.112885,2,150,1.6
"31",109293,66,2,1,44,NA,3,3,2,1,NA,3,3,NA,1,2,2,1,2,2,1,2,2,1,12006.07013,12160.980466,2,163,0.02
"32",109294,66,2,2,0,10,5,7,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,2617.289014,2956.808889,2,167,5
"33",109295,66,2,2,54,NA,1,1,1,2,4,1,1,NA,2,2,2,2,2,2,2,2,2,2,9559.577848,9951.368904,2,155,5
"34",109296,66,2,1,10,NA,4,4,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,2515.973672,2743.6759,2,156,2.34
"35",109297,66,2,2,30,NA,5,6,1,1,NA,4,3,2,1,2,2,1,2,2,1,2,2,1,13785.399152,14974.372893,2,154,NA
"36",109298,66,2,1,68,NA,3,3,2,1,NA,1,1,NA,1,1,2,1,2,2,1,1,2,NA,7587.880067,7866.974787,1,167,1.75
"37",109299,66,1,2,4,NA,5,7,NA,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,5555.401413,0,2,155,5
"38",109300,66,2,2,54,NA,5,6,2,2,3,5,1,NA,1,2,2,1,2,2,1,2,2,1,20550.01905,23643.30481,1,169,5
"39",109301,66,2,2,6,NA,4,4,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,4309.485311,4813.499237,1,170,0.48
"40",109302,66,2,2,11,NA,4,4,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,1824.224927,2026.343571,1,152,1.59
"41",109303,66,2,1,18,NA,5,6,1,2,2,NA,NA,NA,1,2,2,1,2,2,1,2,2,1,3740.39691,3910.238257,2,152,1.03
"42",109304,66,2,2,9,NA,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,10460.174386,11915.316934,1,149,3.5
"43",109305,66,2,1,55,NA,5,6,2,2,3,5,1,NA,1,2,2,1,2,2,1,2,2,1,6649.793457,7592.522584,3,156,5
"44",109306,66,2,1,2,NA,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,23221.158721,26757.674403,2,172,1.02
"45",109307,66,2,1,47,NA,5,6,1,2,1,1,1,NA,1,2,1,1,2,2,1,2,1,3,15248.7439,16989.215538,1,160,1.38
"46",109308,66,2,1,1,23,4,4,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,5100.21183,5554.221025,1,152,1.59
"47",109309,66,2,1,5,NA,2,2,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,24011.453262,27641.012025,1,169,0.87
"48",109310,66,2,1,8,NA,5,6,1,2,2,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,19014.401427,22172.826396,1,159,5
"49",109311,66,1,2,36,NA,2,2,NA,1,NA,4,3,3,1,2,2,1,2,2,NA,NA,NA,NA,28442.976987,0,1,166,3.39
"50",109312,66,2,2,48,NA,3,3,2,1,NA,5,1,NA,1,2,2,1,2,2,1,2,2,1,125710.80896,133567.950048,1,163,5
"51",109313,66,2,1,63,NA,3,3,1,2,3,4,1,NA,1,2,2,1,2,2,1,2,2,1,89118.344422,101702.788572,1,156,5
"52",109314,66,2,1,0,8,4,4,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,4700.640868,5079.997986,1,165,1.72
"53",109315,66,2,2,30,NA,4,4,1,1,NA,4,3,2,1,2,2,1,2,2,1,2,2,1,7299.490539,7489.193596,2,170,2.16
"54",109316,66,2,2,62,NA,4,4,1,1,NA,3,2,NA,1,2,2,1,2,2,1,2,2,1,6119.732139,6448.398885,1,150,0.07
"55",109317,66,2,2,28,NA,4,4,1,1,NA,4,3,2,1,2,2,NA,NA,NA,1,2,2,1,13686.835274,14593.735207,2,154,NA
"56",109318,66,2,2,5,NA,4,4,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,3046.808358,3365.456151,2,151,0.69
"57",109319,66,2,1,22,NA,4,4,2,1,NA,4,3,NA,1,2,2,1,2,2,1,2,2,1,10545.760881,11681.71417,2,169,4.93
"58",109320,66,2,2,11,NA,5,7,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,6298.858202,6568.732519,2,169,0.91
"59",109321,66,2,2,19,NA,4,4,2,1,NA,NA,NA,NA,1,2,2,1,2,2,1,2,2,1,3886.245638,4204.73603,2,168,0.06
"60",109322,66,2,2,45,NA,1,1,1,2,3,2,1,NA,2,2,2,2,2,2,2,2,2,2,14839.485563,14880.305672,2,161,2.79
"61",109323,66,2,1,22,NA,1,1,1,1,NA,4,3,NA,1,2,2,1,2,2,1,2,2,1,19165.230697,21061.652275,2,154,2.38
"62",109324,66,2,2,49,NA,3,3,1,1,NA,4,2,NA,1,2,2,1,2,2,1,2,2,1,10163.581895,11226.906561,2,151,2.74
"63",109325,66,2,1,7,NA,5,6,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,8808.441186,10151.654248,1,169,4.78
"64",109326,66,2,2,44,NA,3,3,1,1,NA,3,1,2,1,2,2,1,2,2,1,2,2,1,83913.333785,94345.370135,2,152,5
"65",109327,66,2,2,58,NA,1,1,1,2,4,5,1,NA,1,2,2,1,2,2,1,2,2,1,20793.089536,20026.358963,2,154,4.86
"66",109328,66,2,1,2,NA,5,7,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,2445.817726,2713.254057,1,168,0.73
"67",109329,66,2,1,0,9,4,4,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,3032.451177,3322.444777,1,168,1.57
"68",109330,66,2,1,76,NA,5,6,1,2,4,4,1,NA,1,2,2,1,2,2,1,2,2,NA,19197.136633,20618.19805,1,160,2.37
"69",109331,66,2,2,19,NA,1,1,1,1,NA,NA,NA,NA,1,2,2,1,2,2,1,2,2,1,23659.467739,24886.416553,2,160,0.65
"70",109332,66,2,1,33,NA,2,2,2,1,NA,2,3,NA,1,2,2,NA,NA,NA,1,2,2,1,12644.776576,13614.17816,2,166,NA
"71",109333,66,2,2,41,NA,2,2,1,1,NA,4,1,2,1,2,2,1,2,2,1,2,2,1,15305.767602,16401.59972,2,166,5
"72",109334,66,2,2,54,NA,3,3,2,1,NA,2,1,NA,1,2,2,1,2,2,1,2,2,1,21464.41593,25263.684914,1,157,1
"73",109335,66,2,2,55,NA,4,4,2,1,NA,3,3,NA,1,2,2,1,2,2,1,2,2,1,9674.274532,10453.770296,2,163,0.11
"74",109336,66,2,1,35,NA,1,1,1,1,NA,5,1,NA,1,2,2,1,2,2,1,2,2,1,28042.397159,28203.633077,2,155,3.65
"75",109337,66,2,2,48,NA,4,4,1,2,4,4,2,NA,1,2,2,1,2,2,1,2,2,1,7670.954552,7777.320353,2,170,1.18
"76",109338,66,2,2,10,NA,1,1,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,5237.435501,5770.576417,2,161,2.46
"77",109339,66,1,1,14,NA,1,1,NA,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,9964.214591,0,2,159,1.73
"78",109340,66,2,1,44,NA,5,7,2,2,4,4,1,NA,1,2,2,1,2,2,1,2,2,1,16692.014809,17860.750543,2,172,1.13
"79",109341,66,2,2,5,NA,3,3,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,21914.044091,25754.45301,2,155,5
"80",109342,66,2,2,43,NA,3,3,2,1,NA,4,2,2,1,2,2,1,2,2,1,2,2,1,63669.639041,67850.682782,1,155,1.08
"81",109343,66,1,1,69,NA,3,3,NA,1,NA,3,1,NA,1,2,2,1,2,2,NA,NA,NA,NA,106214.033686,0,1,153,4.31
"82",109344,66,2,1,1,23,3,3,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,11078.605076,12973.94298,1,158,0.33
"83",109345,66,2,1,0,5,5,7,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,3556.037944,3846.226928,1,151,0.38
"84",109346,66,2,2,23,NA,4,4,2,1,NA,3,3,2,1,2,2,1,2,2,1,2,2,1,11577.566926,12652.075168,2,171,1.15
"85",109347,66,2,1,2,NA,2,2,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,13140.652614,15488.265895,1,162,0.73
"86",109348,66,2,2,63,NA,3,3,1,1,NA,5,1,NA,1,2,2,1,2,2,1,2,2,1,34811.827416,37103.820638,2,156,5
"87",109349,66,2,2,47,NA,1,1,1,1,NA,5,1,NA,1,2,2,NA,NA,NA,1,2,2,1,32903.563,32224.787303,1,154,NA
"88",109350,66,2,1,59,NA,3,3,2,1,NA,2,3,NA,1,2,2,1,2,2,1,2,2,1,13693.376979,14768.603296,2,166,1.25
"89",109351,66,2,1,58,NA,4,4,2,1,NA,3,2,NA,1,2,2,1,2,2,1,2,2,1,12686.956915,13295.172845,1,151,0.92
"90",109352,66,2,1,10,NA,5,7,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,7869.179526,9511.039806,1,166,5
"91",109353,66,2,2,46,NA,5,6,2,2,1,1,1,NA,1,2,1,NA,NA,NA,1,2,1,3,16173.232009,15944.72831,1,151,NA
"92",109354,66,1,2,66,NA,2,2,NA,1,NA,2,2,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,7852.874891,0,2,161,NA
"93",109355,66,1,2,1,16,4,4,NA,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,3072.661611,0,2,150,NA
"94",109356,66,2,2,1,21,3,3,2,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,9758.906335,10291.734213,2,168,NA
"95",109357,66,2,2,0,3,3,3,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,4168.110867,4403.29151,2,156,5
"96",109358,66,2,2,14,NA,3,3,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,1,132131.703358,138435.978053,2,157,NA
"97",109359,66,1,1,24,NA,5,7,NA,1,NA,2,1,NA,1,2,2,1,2,2,NA,NA,NA,NA,13141.893774,0,2,151,1.44
"98",109360,66,2,2,14,NA,2,2,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,1,22688.293963,25067.497526,1,170,NA
"99",109361,66,2,1,17,NA,5,7,1,1,NA,NA,NA,NA,1,2,2,1,2,2,1,2,2,1,8629.285118,8772.614689,1,158,1.04
"100",109362,66,2,2,3,NA,4,4,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,6007.404244,6028.835095,1,168,0.01
"101",109363,66,1,1,29,NA,5,6,NA,2,2,5,1,NA,1,2,2,1,2,2,NA,NA,NA,NA,24714.14134,0,2,157,5
"102",109364,66,2,2,8,NA,5,7,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,5672.058525,6442.522972,1,170,1.2
"103",109365,66,2,2,49,NA,2,2,2,1,NA,4,1,NA,1,2,2,1,2,2,1,2,2,1,23567.308864,25016.05157,1,169,1.15
"104",109366,66,2,2,10,NA,1,1,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,14268.668283,16010.966592,2,164,5
"105",109367,66,2,1,80,NA,3,3,1,1,NA,3,2,NA,1,1,2,NA,NA,NA,1,1,2,NA,7575.058131,8287.717061,1,150,NA
"106",109368,66,2,2,15,NA,5,6,1,1,NA,NA,NA,NA,1,1,1,1,2,1,1,2,2,1,3891.621308,4375.044096,1,152,1.75
"107",109369,66,2,2,80,NA,2,2,1,1,NA,2,2,NA,1,1,2,1,2,2,1,1,2,NA,12296.852924,13635.844902,2,154,2.07
"108",109370,66,2,1,4,NA,4,4,1,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,4396.963881,4949.448276,1,170,NA
"109",109371,66,2,1,62,NA,5,6,1,1,NA,5,1,NA,1,2,2,1,2,2,1,2,2,1,5337.058368,5571.469217,2,155,4.56
"110",109372,66,2,2,13,NA,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,1,19302.215917,20075.467613,2,164,0.46
"111",109373,66,2,2,30,NA,3,3,1,1,NA,4,3,2,1,2,2,1,2,2,1,2,2,1,14343.322465,14611.858553,2,167,1.22
"112",109374,66,2,1,5,NA,4,4,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,2968.178918,3217.260775,1,167,1.14
"113",109375,66,2,1,2,NA,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,10320.264144,11627.034991,2,168,3.98
"114",109376,66,2,1,23,NA,3,3,2,1,NA,4,3,NA,1,2,2,1,2,2,1,2,2,1,43093.73939,51348.588423,2,164,3.71
"115",109377,66,2,1,41,NA,3,3,2,1,NA,3,2,NA,1,2,2,1,2,2,1,2,2,1,42210.16822,41412.474056,2,159,2.57
"116",109378,66,2,1,36,NA,3,3,1,1,NA,5,3,NA,1,2,2,1,2,2,1,2,2,1,42284.216462,45783.318199,2,171,5
"117",109379,66,2,2,66,NA,3,3,2,1,NA,3,1,NA,1,2,2,1,2,2,1,2,2,1,35346.545029,44769.818698,1,157,1.52
"118",109380,66,2,1,15,NA,1,1,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,1,25637.270008,26852.419795,1,160,2.25
"119",109381,66,2,1,13,NA,5,7,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,1,21946.775608,23174.270977,1,155,1.22
"120",109382,66,2,2,70,NA,1,1,1,1,NA,3,1,NA,1,2,2,1,2,2,1,2,2,NA,8443.274765,9440.499355,1,158,1.7
"121",109383,66,2,1,8,NA,3,3,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,55046.290055,64507.274801,1,161,3.05
"122",109384,66,2,2,13,NA,1,1,1,1,NA,NA,NA,NA,2,1,2,2,2,2,1,2,2,1,39016.618415,41248.233843,1,160,1.36
"123",109385,66,1,2,2,NA,4,4,NA,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,3964.991031,0,2,169,1.65
"124",109386,66,2,1,0,1,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,4709.186597,4952.045038,2,163,0.61
"125",109387,66,2,2,17,NA,5,7,1,1,NA,NA,NA,NA,1,2,2,1,2,2,1,2,2,1,24751.093697,26423.542792,2,157,1.65
"126",109388,66,2,2,11,NA,2,2,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,3541.292887,3758.471411,2,151,1.92
"127",109389,66,2,1,56,NA,5,7,1,2,4,4,1,NA,1,2,2,1,2,2,1,2,2,1,11139.262331,12933.270825,1,170,5
"128",109390,66,2,2,44,NA,4,4,1,1,NA,5,1,2,1,2,2,1,2,2,1,2,2,1,6775.204884,6931.067216,1,150,2.9
"129",109391,66,2,2,56,NA,2,2,1,2,99,1,1,NA,2,2,2,2,2,2,NA,NA,NA,NA,14819.246037,14674.315625,2,160,1.64
"130",109392,66,2,1,79,NA,1,1,2,2,4,1,2,NA,2,2,2,2,2,2,1,2,2,NA,6993.537331,7392.383739,2,159,NA
"131",109393,66,2,1,76,NA,4,4,1,1,NA,4,2,NA,1,2,2,1,2,2,1,2,2,NA,5247.931201,5510.380776,1,158,0.89
"132",109394,66,2,2,29,NA,4,4,2,1,NA,4,3,2,1,2,2,1,2,2,1,2,2,1,9360.146917,10118.84941,2,163,0.17
"133",109395,66,2,1,56,NA,4,4,2,1,NA,4,1,NA,1,2,2,1,2,2,1,2,2,1,13483.838644,13879.618539,1,164,3.92
"134",109396,66,2,2,37,NA,5,6,1,2,3,5,2,2,1,2,1,1,2,1,1,2,2,3,12300.477627,12988.809968,2,154,2.38
"135",109397,66,2,2,47,NA,3,3,2,1,NA,3,1,NA,1,2,2,1,2,2,1,2,2,1,27881.582473,27929.498426,2,158,2.77
"136",109398,66,2,2,16,NA,5,6,2,1,NA,NA,NA,NA,1,2,2,1,2,2,1,2,2,1,4747.639086,5394.657625,2,163,NA
"137",109399,66,2,2,15,NA,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,1,14266.872081,14985.527065,2,158,0.76
"138",109400,66,2,1,9,NA,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,30074.621182,33847.584344,1,164,5
"139",109401,66,1,2,80,NA,3,3,NA,1,NA,3,2,NA,1,1,2,1,1,2,NA,NA,NA,NA,52398.936901,0,1,157,1.86
"140",109402,66,1,1,80,NA,3,3,NA,1,NA,4,1,NA,1,2,2,1,2,2,NA,NA,NA,NA,32724.30179,0,1,163,2.28
"141",109403,66,2,1,30,NA,5,7,2,1,NA,5,1,NA,1,2,2,1,2,2,1,2,2,1,21808.094301,24116.315424,1,151,5
"142",109404,66,2,2,23,NA,2,2,1,1,NA,5,1,2,1,2,2,1,2,2,1,2,2,1,65772.824254,68310.747594,2,162,0.91
"143",109405,66,2,2,32,NA,1,1,1,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,37510.194605,40402.156101,2,162,0.61
"144",109406,66,2,2,1,21,3,3,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,3897.599053,4319.060941,2,150,0.84
"145",109407,66,1,1,30,NA,1,1,NA,2,1,1,1,NA,2,2,2,2,2,2,NA,NA,NA,NA,9378.557513,0,1,152,2.01
"146",109408,66,2,1,51,NA,4,4,1,1,NA,3,1,NA,1,2,2,1,2,2,1,2,2,1,12561.026085,12837.964135,2,170,1.63
"147",109409,66,2,2,8,NA,4,4,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,8053.296025,8471.297623,1,164,0.9
"148",109410,66,2,2,5,NA,1,1,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,9568.447587,10860.493461,2,159,4.14
"149",109411,66,2,2,55,NA,4,4,2,1,NA,5,1,NA,1,2,2,1,2,2,1,2,2,1,23366.747641,23374.374868,1,164,5
"150",109412,66,2,2,7,NA,4,4,2,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,2735.63693,2834.573932,2,170,NA
"151",109413,66,2,2,59,NA,5,6,1,2,4,4,1,NA,1,2,2,NA,NA,NA,1,2,2,1,11186.29537,12696.601342,1,159,NA
"152",109414,66,2,2,62,NA,1,1,2,1,NA,3,1,NA,1,2,2,2,2,2,1,2,2,1,10667.509267,11671.759449,1,150,0.77
"153",109415,66,2,2,61,NA,4,4,2,1,NA,5,1,NA,1,2,2,1,2,2,1,2,2,1,13687.051717,14418.823094,1,172,3.69
"154",109416,66,2,1,60,NA,3,3,2,1,NA,1,2,NA,1,2,2,1,2,2,1,2,2,1,21227.854492,24735.572334,2,158,1.54
"155",109417,66,2,1,17,NA,4,4,2,1,NA,NA,NA,NA,1,2,2,1,2,2,1,2,2,1,17506.565711,19059.848412,1,172,1.14
"156",109418,66,2,2,1,12,4,4,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,3743.570541,4069.426889,2,170,0.61
"157",109419,66,2,2,1,16,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,9220.185751,9893.513573,2,158,1.67
"158",109420,66,2,1,3,NA,3,3,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,33240.104377,37665.357663,1,161,3.05
"159",109421,66,2,2,0,11,4,4,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,7358.222225,7861.916236,1,166,2.81
"160",109422,66,2,2,1,16,4,4,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,9814.350285,10968.500881,1,151,0.56
"161",109423,66,2,2,28,NA,1,1,1,2,2,3,2,2,2,2,2,2,2,2,NA,NA,NA,NA,27046.892491,30320.108051,2,161,NA
"162",109424,66,2,1,11,NA,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,18244.430292,21741.810593,1,172,5
"163",109425,66,2,1,8,NA,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,14909.576625,17382.939906,3,156,5
"164",109426,66,2,2,61,NA,5,6,2,2,2,5,1,NA,1,2,2,1,2,2,1,2,2,1,16587.114611,17444.176315,1,169,4.72
"165",109427,66,2,2,11,NA,3,3,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,31884.602806,37398.925796,1,159,5
"166",109428,66,2,1,80,NA,3,3,2,1,NA,3,1,NA,1,2,2,1,2,2,1,2,2,NA,16257.528702,18282.538514,2,159,2.37
"167",109429,66,2,1,27,NA,3,3,1,1,NA,2,1,NA,1,2,2,1,2,2,1,2,2,1,16536.213033,19872.424948,2,167,0.81
"168",109430,66,2,2,1,16,5,6,1,1,NA,NA,NA,NA,1,1,1,1,2,1,NA,NA,NA,NA,6076.764985,7142.737296,2,154,2.38
"169",109431,66,2,2,45,NA,2,2,1,2,99,4,1,NA,1,2,2,1,2,2,1,2,2,1,8663.022452,8443.23462,1,168,5
"170",109432,66,2,2,44,NA,4,4,1,1,NA,5,3,2,1,2,2,1,2,2,1,2,2,1,6988.357343,7578.581746,2,159,3.66
"171",109433,66,2,1,5,NA,5,7,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,6169.323239,6811.299155,1,151,0.94
"172",109434,66,2,1,15,NA,4,4,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,1,9117.866662,9758.75534,2,149,0.51
"173",109435,66,2,1,62,NA,5,7,2,1,NA,3,1,NA,1,2,2,1,2,2,NA,NA,NA,NA,14675.710171,15120.442689,2,166,0.46
"174",109436,66,2,1,80,NA,5,6,1,2,4,5,1,NA,1,2,2,1,2,2,1,2,2,NA,3465.124395,3494.175689,2,150,5
"175",109437,66,2,2,80,NA,2,2,1,2,4,1,2,NA,1,1,2,1,2,2,2,1,2,NA,18288.789156,20492.824468,1,151,0.64
"176",109438,66,2,2,0,5,1,1,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,3584.773988,3912.87508,2,155,3.37
"177",109439,66,2,2,59,NA,4,4,2,1,NA,4,2,NA,1,2,2,1,2,2,1,2,2,1,11972.156692,12824.370509,1,168,1.8
"178",109440,66,2,1,18,NA,4,4,2,1,NA,NA,NA,NA,1,2,2,1,2,2,1,2,2,1,22282.221532,22124.983684,1,166,NA
"179",109441,66,2,2,20,NA,3,3,1,1,NA,4,3,2,1,2,2,1,2,2,1,2,2,1,86649.297742,93014.979079,2,157,0.41
